TX-9,D+54.4,1.07,,,
UT-1,R+39.4,1,,,
UT-2,R+24.44,1.16,,,
UT-3,R+37.73,1.06,,,
UT-4,R+18.96,0.97,,,
VA-1,R+9.91,0.93,,,
VA-10,D+8.67,1.03,,,
VA-11,D+36.89,0.9,,,
VA-2,R+0.65,0.93,,,
VA-3,D+35.18,0.94,,,
VA-4,D+23.87,1.03,,,
VA-5,R+7.25,0.95,,,
VA-6,R+20.8,0.98,,,
VA-7,R+5.47,0.88,,,
VA-8,D+48.81,0.82,,,
VA-9,R+35.26,0.94,,,
VT-1,D+23.93,1.12,,,
WA-1,D+14.44,0.96,,,
WA-10,D+12.65,0.97,,,
WA-2,D+21.71,1,,,
WA-3,R+5.5,1,,,
WA-4,R+22.61,1.05,,,
WA-5,R+12.04,1.17,,,
WA-6,D+13.15,1.05,,,
WA-7,D+65.78,0.81,,,
WA-8,D+2.55,1.05,,,
WA-9,D+43.88,0.87,,,
WI-1,R+12.84,1.03,,,
WI-2,D+32.59,1.13,,,
WI-3,R+3.91,1.06,,,
WI-4,D+47.46,1.01,,,
WI-5,R+25.82,1.11,,,
WI-6,R+18.27,1.1,,,
WI-7,R+19.2,1.02,,,
WI-8,R+17.54,1.09,,,
WV-1,R+33.3,1.01,,,
WV-2,R+28.32,1.04,,,
WV-3,R+40.11,1.07,,,
WY-1,R+44.56,1.08,,,
